ids;labels;parents;values;counts;avgs
MOT;MOT;;0;1;0
AMSTERDAM;AMSTERDAM;;-2.09;1;-2.46
LSE;LSE;;2;1;2
XETRA;XETRA;;-8.57;8;-1.07
BME;BME;;-0.16;5;-0.03
VIENNA;VIENNA;;0;1;0
NASDAQ;NASDAQ;;-28.06;25;-1.12
OSLO;OSLO;;4.88;1;4.88
BIT;BIT;;-16.29;23;-0.71
SIX;SIX;;-1.14;2;-0.57
NYSE;NYSE;;0.64;24;0.03
EPA;EPA;;-2.59;2;-1.3
Space and Satellite Technology|NASDAQ;Space and Satellite Technology;NASDAQ;0.6;1;0.6
Space and Satellite Technology|NYSE;Space and Satellite Technology;NYSE;1.72;1;1.72
Banking|BIT;Banking;BIT;-7.93;5;-1.59
Social Media|NASDAQ;Social Media;NASDAQ;-2.79;1;-2.79
Telecommunications|NASDAQ;Telecommunications;NASDAQ;5.07;2;2.54
Aerospace and Defense|NYSE;Aerospace and Defense;NYSE;-0.14;1;-0.14
Oil and Gas Integrated|EPA;Oil and Gas Integrated;EPA;1.32;1;1.32
Banks|BME;Banks;BME;-1.07;1;-1.07
Postal Services and Financials|BIT;Postal Services and Financials;BIT;0.47;1;0.47
Semiconductor Equipment|AMSTERDAM;Semiconductor Equipment;AMSTERDAM;-2.09;1;-2.09
Apparel Manufacturing|BIT;Apparel Manufacturing;BIT;-2.76;1;-2.76
Insurance|BIT;Insurance;BIT;0.38;1;0.38
Electric Utilities|BIT;Electric Utilities;BIT;3.07;2;1.54
Household and Personal Products|NYSE;Household and Personal Products;NYSE;-1.16;1;-1.16
Semiconductors|EPA;Semiconductors;EPA;-3.91;1;-3.91
Banking|XETRA;Banking;XETRA;-3.68;2;-1.84
Travel and Leisure|NYSE;Travel and Leisure;NYSE;-2.38;1;-2.38
Beverages|BIT;Beverages;BIT;0.64;1;0.64
Exchange Traded Funds|NYSE;Exchange Traded Funds;NYSE;1.72;2;0.86
Software-Infrastructure|NASDAQ;Software-Infrastructure;NASDAQ;-1.53;1;-1.53
Gas Utilities|BIT;Gas Utilities;BIT;1.7;1;1.7
Insurance|SIX;Insurance;SIX;0;1;0
Gold Mining|NYSE;Gold Mining;NYSE;0.54;1;0.54
ETF|NASDAQ;ETF;NASDAQ;-2.2;1;-2.2
Apparel Accessories and Luxury Goods|SIX;Apparel Accessories and Luxury Goods;SIX;-1.14;1;-1.14
Renewable Energy|BIT;Renewable Energy;BIT;0.71;1;0.71
Oil and Gas|BME;Oil and Gas;BME;1.45;1;1.45
Oil and Gas|OSLO;Oil and Gas;OSLO;4.88;1;4.88
Shipbuilding|BIT;Shipbuilding;BIT;0.08;1;0.08
Energy Equipment and Services|XETRA;Energy Equipment and Services;XETRA;-0.73;1;-0.73
Aerospace and Defense|XETRA;Aerospace and Defense;XETRA;2.11;1;2.11
Quantum Computing|NYSE;Quantum Computing;NYSE;-2.03;2;-1.01
Semiconductors|NASDAQ;Semiconductors;NASDAQ;-13.72;8;-1.72
Insurance|XETRA;Insurance;XETRA;-3.78;1;-3.78
Software|NASDAQ;Software;NASDAQ;-1.3;2;-0.65
Electric Utilities|XETRA;Electric Utilities;XETRA;1.8;1;1.8
Auto Manufacturers|BIT;Auto Manufacturers;BIT;-4.68;2;-2.34
ETF|NYSE;ETF;NYSE;-0.5;1;-0.5
Asset Management|BIT;Asset Management;BIT;-2.29;1;-2.29
Semiconductors|XETRA;Semiconductors;XETRA;-1.62;1;-1.62
Aerospace and Defense|NASDAQ;Aerospace and Defense;NASDAQ;-5.03;2;-2.52
Banking|BME;Banking;BME;-2.35;1;-2.35
Banks|VIENNA;Banks;VIENNA;0;1;0
Consumer Electronics|NASDAQ;Consumer Electronics;NASDAQ;0.14;1;0.14
Oil and Gas|LSE;Oil and Gas;LSE;2;1;2
Semiconductors|BIT;Semiconductors;BIT;-4;1;-4
Computer Hardware|NYSE;Computer Hardware;NYSE;1.27;1;1.27
Oil and Gas|BIT;Oil and Gas;BIT;2.53;1;2.53
Internet Content and Information|NASDAQ;Internet Content and Information;NASDAQ;-2.17;1;-2.17
Computer Hardware|NASDAQ;Computer Hardware;NASDAQ;-2.03;1;-2.03
Sovereign Debt|MOT;Sovereign Debt;MOT;0;1;0
Electronic Equipment Instruments and Components|NYSE;Electronic Equipment Instruments and Components;NYSE;0.23;1;0.23
Banking|NYSE;Banking;NYSE;-0.6;1;-0.6
Banks|XETRA;Banks;XETRA;-2.67;1;-2.67
ETF-Emerging Markets Equity|NYSE;ETF-Emerging Markets Equity;NYSE;-0.28;1;-0.28
Pharmaceuticals|NYSE;Pharmaceuticals;NYSE;0.39;3;0.13
Investment Banking|NYSE;Investment Banking;NYSE;-4.07;2;-2.04
Financial Services|BIT;Financial Services;BIT;-2.55;1;-2.55
Oil and Gas Exploration and Production|NYSE;Oil and Gas Exploration and Production;NYSE;2.26;1;2.26
Electric Utilities|BME;Electric Utilities;BME;1.85;1;1.85
Oil and Gas Integrated|NYSE;Oil and Gas Integrated;NYSE;1.91;1;1.91
Aerospace and Defense|BIT;Aerospace and Defense;BIT;2.3;1;2.3
Diversified Financial Services|BIT;Diversified Financial Services;BIT;-1.89;1;-1.89
Multi-line Insurance|BIT;Multi-line Insurance;BIT;-2.07;1;-2.07
Biotechnology|NASDAQ;Biotechnology;NASDAQ;-2.11;1;-2.11
Banks-Diversified|BME;Banks-Diversified;BME;-0.04;1;-0.04
Software|NYSE;Software;NYSE;1.76;3;0.59
E-commerce|NASDAQ;E-commerce;NASDAQ;-1.06;2;-0.53
Quantum Computing|NASDAQ;Quantum Computing;NASDAQ;0.07;1;0.07
Technology|Software|NYSE;Technology;Software|NYSE;2.77;2;1.39
Financial Services|Exchange Traded Funds|NYSE;Financial Services;Exchange Traded Funds|NYSE;1.72;2;0.86
Financials|Banks|XETRA;Financials;Banks|XETRA;-2.67;1;-2.67
Financials|ETF-Emerging Markets Equity|NYSE;Financials;ETF-Emerging Markets Equity|NYSE;-0.28;1;-0.28
Energy|Oil and Gas Integrated|NYSE;Energy;Oil and Gas Integrated|NYSE;1.91;1;1.91
Utilities|Electric Utilities|XETRA;Utilities;Electric Utilities|XETRA;1.8;1;1.8
Financials|Banking|XETRA;Financials;Banking|XETRA;-3.1;1;-3.1
Energy|Oil and Gas|BME;Energy;Oil and Gas|BME;1.45;1;1.45
Technology|Semiconductors|NASDAQ;Technology;Semiconductors|NASDAQ;-13.72;7;-1.96
Consumer Discretionary|Apparel Accessories and Luxury Goods|SIX;Consumer Discretionary;Apparel Accessories and Luxury Goods|SIX;-1.14;1;-1.14
Technology|Semiconductors|XETRA;Technology;Semiconductors|XETRA;-1.62;1;-1.62
Communication Services|Telecommunications|NASDAQ;Communication Services;Telecommunications|NASDAQ;5.07;2;2.54
Financials|Banking|BME;Financials;Banking|BME;-2.35;1;-2.35
Utilities|Electric Utilities|BME;Utilities;Electric Utilities|BME;1.85;1;1.85
Financials|Diversified Financial Services|BIT;Financials;Diversified Financial Services|BIT;-1.89;1;-1.89
Financials|Investment Banking|NYSE;Financials;Investment Banking|NYSE;-4.07;2;-2.04
Communication Services|Internet Content and Information|NASDAQ;Communication Services;Internet Content and Information|NASDAQ;-2.17;1;-2.17
Financials|Insurance|BIT;Financials;Insurance|BIT;0.38;1;0.38
Information Technology|Software|NASDAQ;Information Technology;Software|NASDAQ;0.52;1;0.52
Consumer Discretionary|E-commerce|NASDAQ;Consumer Discretionary;E-commerce|NASDAQ;-1.06;2;-0.53
Financials|Banks|BME;Financials;Banks|BME;-1.07;1;-1.07
Consumer Cyclical|Auto Manufacturers|BIT;Consumer Cyclical;Auto Manufacturers|BIT;-4.68;2;-2.34
Industrials|Aerospace and Defense|NYSE;Industrials;Aerospace and Defense|NYSE;-0.14;1;-0.14
Financial|ETF|NASDAQ;Financial;ETF|NASDAQ;-2.2;1;-2.2
Utilities|Renewable Energy|BIT;Utilities;Renewable Energy|BIT;0.71;1;0.71
Energy|Oil and Gas|BIT;Energy;Oil and Gas|BIT;2.53;1;2.53
Technology|Consumer Electronics|NASDAQ;Technology;Consumer Electronics|NASDAQ;0.14;1;0.14
Technology|Quantum Computing|NYSE;Technology;Quantum Computing|NYSE;-2.03;2;-1.01
Technology|Space and Satellite Technology|NYSE;Technology;Space and Satellite Technology|NYSE;1.72;1;1.72
Technology|Semiconductors|EPA;Technology;Semiconductors|EPA;-3.91;1;-3.91
Energy|Oil and Gas Integrated|EPA;Energy;Oil and Gas Integrated|EPA;1.32;1;1.32
Healthcare|Pharmaceuticals|NYSE;Healthcare;Pharmaceuticals|NYSE;0.39;3;0.13
Basic Materials|Gold Mining|NYSE;Basic Materials;Gold Mining|NYSE;0.54;1;0.54
Industrials|Energy Equipment and Services|XETRA;Industrials;Energy Equipment and Services|XETRA;-0.73;1;-0.73
